loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
0.0,0.4,1.0,0.0,0.9690721649484535,0.7551020408163265,0.5555555555555556,0.7966666666666669,0.08561643835616438,0.9072164948453608,0.5758354755784062,0.54421768707483,1
0.00023430178069353328,0.0,0.0,1.0,0.4020618556701031,0.30357142857142855,0.3333333333333333,0.19500000000000006,0.0958904109589041,0.1134020618556701,0.21850899742930593,0.22448979591836737,0
0.00046860356138706655,0.6000000000000001,1.0,0.0,0.9175257731958762,0.7499999999999999,1.0,0.3433333333333334,0.2465753424657534,0.23195876288659792,0.8483290488431877,0.870748299319728,0
0.0007029053420805998,0.6000000000000001,1.0,0.0,0.8247422680412371,0.7755102040816326,0.3333333333333333,0.27833333333333343,0.6267123287671232,0.17010309278350516,0.5912596401028278,0.5374149659863946,0
0.0009372071227741332,1.0,0.0,1.0,0.9896907216494845,0.6096938775510203,1.0,0.13666666666666671,0.4280821917808219,0.422680412371134,0.7480719794344474,0.34013605442176875,0
0.0011715089034676665,0.0,1.0,1.0,0.4742268041237113,0.336734693877551,0.4444444444444445,0.03166666666666673,0.2363013698630137,0.42783505154639173,0.3444730077120823,0.34693877551020413,0
0.0014058106841611994,1.0,1.0,0.0,0.8762886597938143,0.8341836734693877,0.1111111111111111,0.6300000000000001,0.773972602739726,0.7628865979381443,0.7429305912596402,0.29251700680272114,1
0.0016401124648547328,0.4,1.0,1.0,0.5670103092783505,0.375,1.0,0.13666666666666671,0.4554794520547945,0.29381443298969073,0.29562982005141386,0.40816326530612246,0
0.0018744142455482662,0.0,1.0,1.0,0.061855670103092786,0.04846938775510204,1.0,0.8033333333333335,0.04794520547945205,0.041237113402061855,0.06426735218508997,0.04081632653061225,1
0.0021087160262417996,1.0,0.0,0.0,0.09278350515463918,0.10204081632653061,0.4444444444444445,0.14666666666666672,0.11301369863013698,0.07216494845360824,0.07712082262210797,0.108843537414966,0
0.0023430178069353325,0.8,1.0,1.0,0.27835051546391754,0.2780612244897959,0.0,0.41166666666666674,0.2808219178082192,0.2422680412371134,0.2365038560411311,0.2108843537414966,1
0.002577319587628866,0.4,0.0,1.0,0.6701030927835051,0.5714285714285714,0.8888888888888888,0.3966666666666667,0.5273972602739726,0.29896907216494845,0.5167095115681235,0.435374149659864,0
0.0028116213683223993,0.6000000000000001,0.0,1.0,0.49484536082474223,0.288265306122449,0.7777777777777777,0.018333333333333313,0.2226027397260274,0.49484536082474223,0.3676092544987147,0.29251700680272114,0
0.0030459231490159323,0.4,1.0,1.0,0.9175257731958762,0.7959183673469387,0.6666666666666665,0.6316666666666668,0.3732876712328767,0.8556701030927835,0.5295629820051414,0.34013605442176875,1
0.0032802249297094657,0.2,0.0,0.0,0.17525773195876287,0.18112244897959182,0.2222222222222222,0.28166666666666673,0.0684931506849315,0.06185567010309278,0.14395886889460155,0.1292517006802721,0
0.003514526710402999,1.0,0.0,0.0,0.4639175257731959,0.2653061224489796,0.4444444444444445,0.8233333333333335,0.1986301369863014,0.20103092783505155,0.4138817480719794,0.29931972789115646,1
